quote,author,predicted_tags
There will always be rocks in the road ahead of us. They will be stumbling blocks or stepping stones; it all depends on how you use them.,Friedrich Nietzsche,"('inspirational', 'inspirationalquotes', 'you')"
Sometimes people don't want to hear the truth because they don't want their illusions destroyed.,Friedrich Nietzsche,"('people', 'reality', 'truth')"
"I was in darkness, but I took three steps and found myself in paradise. The first step was a good thought, the second, a good word; and the third, a good deed.",Friedrich Nietzsche,"('good', 'life', 'light')"
"There are two different types of people in the world, those who want to know, and those who want to believe.",Friedrich Nietzsche,"('belief', 'people', 'world')"
Nobody is more inferior than those who insist on being equal.,Friedrich Nietzsche,"('inspirational', 'life', 'people')"
And those who were seen dancing were thought to be insane by those who could not hear the music.,Friedrich Nietzsche,"('music', 'people', 'think')"
"To live is to suffer, to survive is to find some meaning in the suffering.",Friedrich Nietzsche,"('life', 'living', 'philosophy')"
"You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.",Friedrich Nietzsche,"('inspirational', 'life', 'romance')"
Enjoy life. This is not a dress rehearsal.,Friedrich Nietzsche,"('faith', 'inspirational', 'life')"
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche,"('books', 'humor', 'war')"
All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.,Friedrich Nietzsche,"('power', 'spiritual', 'truth')"
"Whoever fights monsters should see to it that in the process he does not become a monster. And if you gaze long enough into an abyss, the abyss will gaze back into you.",Friedrich Nietzsche,"('inspirational', 'purpose', 'war')"
No price is too high to pay for the privilege of owning yourself.,Friedrich Nietzsche,"('god', 'motivation', 'self')"
Do you want to have an easy life? Then always stay with the herd and lose yourself in the herd.,Friedrich Nietzsche,"('family', 'inspirational', 'life')"
That which does not kill us makes us stronger.,Friedrich Nietzsche,"('humour', 'power', 'strength')"
The higher we soar the smaller we appear to those who cannot fly.,Friedrich Nietzsche,"('humanity', 'inspirational', 'motivationalquotes')"
"What is the difference between someone who is convinced and one who is deceived? None, if he is well deceived.",Friedrich Nietzsche,"('hope', 'politics', 'truth')"
The tree that would grow to heaven must send its roots to hell.,Friedrich Nietzsche,"('god', 'life', 'motivational')"
I know of no better life purpose than to perish in attempting the great and the impossible.,Friedrich Nietzsche,"('inspirational', 'life', 'purpose')"
"In loneliness, the lonely one eats himself; in a crowd, the many eat him. Now choose.",Friedrich Nietzsche,"('life', 'love', 'self')"
Everything matters. Nothing's important.,Friedrich Nietzsche,"('inspirational', 'life', 'time')"
"Nobody can build the bridge for you to walk across the river of life, no one but you yourself alone. There are, to be sure, countless paths and bridges and demi-gods which would carry you across this river; but only at the cost of yourself; you would pawn yourself and lose. There is in the world only one way, on which nobody can go, except you: where does it lead? Do not ask, go along with it.",Friedrich Nietzsche,"('freedom', 'inspirational', 'life')"
"Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule.",Friedrich Nietzsche,"('humor', 'intelligence', 'philosophy')"
"If you know the why, you can live any how.",Friedrich Nietzsche,"('knowledge', 'life', 'living')"
"Everything the State says is a lie, and everything it has it has stolen.",Friedrich Nietzsche,"('debasishmridha', 'debasishmridhamd', 'trust')"
He who cannot obey himself will be commanded. That is the nature of living creatures.,Friedrich Nietzsche,"('god', 'leadership', 'man')"
Be careful who you choose as your enemy because that's who you become most like.,Friedrich Nietzsche,"('friendship', 'inspirational', 'life')"
Those who are devoid of purpose will make the void their purpose.,Friedrich Nietzsche,"('life', 'philosophy', 'purpose')"
